Department,Sentiment,Emotions,Summary
Product,negative,"disappointment, surprise, confusion","maternity top, not suitable for summer"
Product,negative,"frustration, disappointment, dissatisfaction, annoyance, dissatisfaction","sizing issue with bodice and skirt, flaws visible, long torso"
Product,negative,"comfortable, flattering, cheap, pilled, worn, faded","cheap and low-quality shirt, fades and pills after washing"
Product,positive,"love, feel, looking forward, trips","true to size, accurate color, love the feel, weightier knit"
Product,positive,"beautiful, favorite, attractive, love","effortlessly beautiful design, favorite pajama, feel attractive again"
Product,positive,"flattering, adore, vibrant, beautiful, small","vibrant raspberry colored top, flattering shape, small eyelets"
Product,negative,"delicate, frayed, torn, return","delicate fabric, frayed cutouts, torn, had to return"
Product,negative,"small, fitted, hot, returning, another","small cut, fitted on hips and rear, polyester is hot, returning for another brand"
Product,positive,"love, favorite, perfect","favorite everyday jean, perfect fit and durability"
nan,nan,nan,nan
Product,positive,"desperate, nicely, pretty, feminine, happy, fun","swim cover with embroidery detail, feminine and fun."
Product,negative,"disappointment, dissatisfaction","thin, see through fabric, returning"
Product,positive,"adorable, perfect, stretch, can't wait, sells out","adorable dress, true to size, stretchy denim, winter outfit"
Product,negative,"frustration, disappointment, confusion, dissatisfaction, concern","dress sizing issue, not suitable for different body types."
Product,positive,"flattering, nice, soft, stretchy, depth","soft stretchy material, flattering and nice cut"
Product,positive,"flattering, maintained, perfect, tempted","maintained shape, perfect ankle length"
Product,positive,"satisfied, interested, uncertain, disappointed, hopeful","different style with slits on the side, brighter gold color, wish for more bold color choices."
Product,positive,"love, perfect, beautiful, forgiving","fitted bodice, forgiving bottom, beautiful dark green color"
Product,positive,"happy, satisfied, surprised, impressed, excited","perfect fit, beautiful color, wore it to dinner"
Product,positive,"cute, perfect, eye-catching, transitional, hanging","cute sweater, perfect for transitional weather, eye-catching yellow color"
nan,nan,nan,nan
Product,negative,"disappointment, frustration, hopefulness, excitement, satisfaction","sizing issue, returning for smaller size"
Product,negative,"disappointment, frustration, dissatisfaction, caution, concern","poor quality and sizing, odd cuff placement, not recommended"
Product,positive,"comfortable, stretchy, puckering, love, great","comfortable and stretchy, slight puckering but overall great design"
nan,nan,nan,nan
"Marketing, Product",positive,"beautiful, flattering, compliments","beautiful, flattering dress, received many compliments"
Product,positive,"adore, fun, swingy, light, perfect, love, recommend","well made and well fit tshirt, fun little addition, perfect length, love the colors"
Product,positive,"fun, cool, intentional, reference, bought","vintage dress, tts fit, intentional roomy hips, size 8"
Product,positive,"love, comfortable, versatile, perfect, complaint, minor, well, comfortable, showing, mindful","comfortable and versatile dress, minor complaint about tulip skirt"
Product,positive,"pretty, fabulous, great, tall, long enough","pretty dress, fabulous in hot weather, great fit, bit pricey"
Product,positive,"love, fine, not sheer, compliments","blue dress, pear shape, top fit fine, cotton lining, compliments"
Product,positive,"love, cute, great, fits perfectly, works","great quality, fits perfectly, works"
Product,positive,"love, beautiful, cozy, snug, roomier","versatile cardigan, beautiful colors, light weight, snug sleeves"
Product,positive,"nicely made, compliments, love","light sweater, looks great with jeans"
Product,positive,"versatile, delicate, durable, recommend","versatile hooded sweater top, delicate and durable, would recommend."
Product,positive,"liked, cute, better options, true, flattering","cute top, true to size, flattering neckline"
nan,nan,nan,nan
Product,negative,"disappointment, awkward, weird, liked, warm","dress fit and material disappointment, neck area awkward"
Inventory,positive,"loved, tried, needed, kept","out of stock, tried other sizes, needed small size"
Product,positive,"love, amazing, cool","fits amazing, too cool"
Product,positive,"love, cute","dress in green, runs large, super cute"
"Inventory, Product",positive,"wanted, sold out, cute, nicer, odd, perfect, stretch, heartbeat","dark grey sold out, navy is cute and nicer, perfect fit"
Product,positive,"dreamy, soft, evocative, perfect, ordered","soft and dreamy pajama pants, perfect length, ordered for sister"
Product,positive,"soft, buttery, good, go-to, bothers","soft and buttery shirt, good go-to option, slight issue with arm holes"
Product,positive,"amazing, soft, cozy, favorite",soft and cozy jacket with a favorite hood.
"Marketing, Product",positive,"love, cute, fun, flattering, need","cute top, fun colors, flattering cut, need to get before it sells out"
Product,positive,"confusion, disappointment, acceptance, indifference, curiosity","color difference, cardigan style oversized"
Product,negative,"disappointment, frustration, dissatisfaction, surprise, confusion","dress sizing and quality issues, threads unraveling"
Product,positive,"surprised, satisfied, impressed, content, pleased","good quality, comfortable, adds volume, long, flare"
