Department,Sentiment,Emotions,Summary
Product,positive,"great, larger, billows, expected, great","basic tee, navy, fits larger, great for summer, looks great with skinny jeans"
Product,positive,"beautiful, good, dress up, special occasion","beautiful embroidery, good quality jeans, dress up for special occasion"
Product,positive,"flattering, perfect, great, deep","flattering cut for hourglass ladies, great for fall"
nan,nan,nan,nan
"Marketing, Product",positive,"love, happy, polished, casual, compliments","versatile top, pairs well with different outfits, receives compliments"
Product,positive,"love, like","thin dress, medium size, need slip"
Product,positive,"great, nice, appropriate, surprised, great","great skirt, fits well, higher slit, looks great with blouse and cardigan"
Product,positive,"disagree, high quality, liked, swingy, tight","high quality fabric, liked pattern and shape, tight fit"
Product,positive,"satisfied, happy, content, relieved, indifferent","good quality fabric, high waist, perfect fit for midsection"
nan,nan,nan,nan
Product,negative,"dissatisfaction, desire, love","top runs large, return medium for small, different colors, love style"
Product,positive,"love, flattering, perfect, sophisticated, casual","flattering dress/tunic, versatile with accessories"
Product,negative,"disappointing, unflattering, over-the-top, thin straps, lack of support","cute suit, good quality, but unflattering and lack of support."
Product,positive,"love, drew, warm, cuddly","lovely sweater, new staple, fit, styling, colors"
Product,positive,"adorable, great, fit, showing","great for yoga or everyday use, fits well"
Product,positive,"confusion, disappointment, satisfaction, uncertainty, surprise","jacket is cropped, xs peach sold out, ordered size s, xs gray looks better"
Product,negative,"cute, feminine, casual, soft, drapes nicely, off center, incorrectly cut, twists, annoying","off center seam, annoying twisting"
Product,negative,"wide, short, strange, cute","shirt is wide and short, stripes are cute"
Product,negative,"unflattering, difficult, returned","boxy fit, navy blue color, difficult to return"
Product,positive,"happy, excited, satisfied, confident, content","perfect jumpsuit, comfortable fabric, versatile for any occasion"
Product,positive,"glad, nice, not sloppy, no issues","top fits true to size, not clingy, fits nicely"
Product,negative,"confusion, uncertainty",pants color description confusion
Product,positive,"love, issue","details and design of top, bit too ""flowy"""
Product,positive,"satisfied, impressed, pleased, excited, confident",luxurious linen blouse with excellent fit and admirable craftsmanship
Product,negative,"lovely, great, nice, good, small, nymph, couldn't","dress, fabrication, zipper placket, material, small waist, couldn't zip"
Product,negative,"disappointment, dissatisfaction, frustration, annoyance, regret","thin fabric, wide bottom hung sloppy, not well dressed"
Product,positive,"glad, surprising, comfortable","comfortable dress with smart features, a surprising find"
Product,positive,"love, splurge, lovely","purple color, 5'2"", xxs size, splurge, lovely"
Product,negative,"uncomfortable, love, small, splashes, dark colors","floral print not visible on small bottom, uncomfortable fit."
Product,positive,"beautiful, elegant, enjoy, hope, more curves","beautiful dress, elegant, hope someone enjoys it"
Product,positive,"excited, sophisticated, nice, close, tailored","top fits perfectly, excited to pair for dinner, jeans and sandals"
Product,positive,"satisfied, impressed, pleased, happy, content","fitted dress with beautiful belt, excellent quality, hidden armpit lace"
Product,negative,"loved, comfortable, fraying, disappearing, unfortunate","fraying leaves on pants, returning due to quality issue"
Product,negative,"disappointment, frustration, anger, surprise, sadness",pants ripped while petting dog
Product,negative,"cute, soft, flattering, short, rounded, higher, wish, old","fabric soft, top flattering, bottom too short, rounded sides"
Product,positive,"love, cute, stumped, haha","dark colors, summer touch, anchors on buttons, smaller fit, more styling options"
Product,negative,"frustration, disappointment, concern, resignation, dissatisfaction","subpar fabric, snagged and unraveling skirts, had to return it"
Product,positive,"perception, like, look, neutral, large","color perception different from photo, overall like the look"
Product,positive,"love, pretty, beautiful, complementary, joy","beautiful dress, sparks joy"
Product,negative,"on the fence, not completely right, light and airiness, seem right, work wear","sizing issue, needs camisole for work wear"
Product,positive,"agree, beautiful, fun, love, statement","beautiful colors, fun side slit, statement piece"
Product,negative,"love, unsure","fabric, fit, sizing accuracy, unsure about smaller size"
Product,positive,"happy, fun, great, looser fit","swingy and fun dress, looks great with tall boots"
Product,negative,"awkward, shame, beautiful, great, shame","high sit, small size, beautiful pattern, awkward fabric, looks great"
Product,negative,"excited, gorgeous, tight, problem, defective","tight fit, defective product"
Product,positive,"love, beautiful, striking, slimming, substantial","soft rib knit skirt with deep chocolate stripes, flattering fit"
Product,positive,"comfortable, perfect, relaxed, fitted","comfortable and perfect for summer, true to size"
"Marketing, Sales",positive,"flattering, great, recommend","40% off sale items, flattering fit, recommend"
Product,positive,"love, great, best, waited, need","great layering piece, snaps, waited for sale"
Product,positive,"satisfied, happy, content, impressed, pleased","comfortable fabric, versatile piece, fits like a dream"
nan,nan,nan,nan
Product,positive,"fun, versatile, love, well made, quality","well made jumpsuit, versatile for both casual and dressy occasions."
Product,positive,"beautiful, ok, large, perfectly","fabric, cut, beautiful, size, fit"
Product,positive,"flattering, love, fine, ok, loves","flattering fit, no support for breasts, husband loves it"
Product,positive,"beautiful, great, unique, easy, draw","beautiful sweater with unique zipper detail, easy to wear."
Product,negative,"cool, perfect, lack, stretch, comfortably","ankles pants design cool, lack of stretch, uncomfortable knee bend."
Product,positive,"satisfied, comfortable, happy, content, warm","dress fits great, warm for winter months"
Product,negative,"disappointment, sad","dress fit is extremely voluminous, sad to leave without dress"
Product,negative,"loved, unfortunately, boxy, frumpy","color, faded look, return, boxy, frumpy"
nan,nan,nan,nan
Product,positive,"love, contemplating, thinking","contemplating purchasing dress, can't stop thinking about it"
Product,positive,"love, happy","first pair, love them, altered, rich blue, nice stretch, happy with sale"
Product,negative,"loved, fit, relaxed, tight, send back","sleeves too tight, had to send back"
Product,positive,"pleasant, surprise",nice substantial material
